Date,AAPL,GOOGL,MSFT,AMZN,FB,,,,,,,,,,
7/3/2019,204.4100037,1122.98999,137.4600067,1939,197.1999969,1.680007935,10.39001465,0.880004883,4.689941406,2.199996948,,TRUE,,,
7/5/2019,204.2299957,1132.670044,137.0599976,1942.910034,196.3999939,-0.180007935,9.680053711,-0.400009155,3.91003418,-0.800003052,,FALSE,,,
7/8/2019,200.0200043,1116.790039,136.9600067,1952.319946,195.7599945,-4.209991455,-15.88000488,-0.099990845,9.409912109,-0.63999939,,FALSE,,,
7/9/2019,201.2400055,1124.290039,136.4600067,1988.300049,199.2100067,1.220001221,7.5,-0.5,35.98010254,3.450012207,,FALSE,,,
7/10/2019,203.2299957,1140.910034,137.8500061,2017.410034,202.7299957,1.989990234,16.61999512,1.38999939,29.10998535,3.519989014,,TRUE,,,
7/11/2019,201.75,1144.079956,138.3999939,2001.069946,201.2299957,-1.479995728,3.169921875,0.549987793,-16.34008789,-1.5,,FALSE,,,
7/12/2019,203.3000031,1145.339966,138.8999939,2011,204.8699951,1.550003052,1.260009766,0.5,9.930053711,3.63999939,,TRUE,,,
7/15/2019,205.2100067,1150.51001,138.8999939,2020.98999,203.9100037,1.910003662,5.170043945,0,9.989990234,-0.959991455,,FALSE,,,
7/16/2019,204.5,1153.459961,137.0800018,2009.900024,203.8399963,-0.710006714,2.949951172,-1.819992065,-11.08996582,-0.070007324,,FALSE,,,
7/17/2019,203.3500061,1146.73999,136.2700043,1992.030029,201.8000031,-1.149993896,-6.719970703,-0.809997559,-17.86999512,-2.039993286,,TRUE,,,
7/18/2019,205.6600037,1147.23999,136.4199982,1977.900024,200.7799988,2.309997559,0.5,0.149993896,-14.13000488,-1.020004272,,FALSE,,,
7/19/2019,202.5899963,1131.550049,136.6199951,1964.52002,198.3600006,-3.070007324,-15.68994141,0.199996948,-13.38000488,-2.419998169,,FALSE,,,
7/22/2019,207.2200012,1139.209961,138.4299927,1985.630005,202.3200073,4.630004883,7.659912109,1.809997559,21.10998535,3.960006714,,TRUE,,,
7/23/2019,208.8399963,1148.050049,139.2899933,1994.48999,202.3600006,1.619995117,8.840087891,0.86000061,8.859985352,0.039993286,,TRUE,,,
7/24/2019,208.6699982,1139.72998,140.7200012,2000.810059,204.6600037,-0.169998169,-8.320068359,1.430007935,6.320068359,2.300003052,,FALSE,,,
7/25/2019,207.0200043,1135.939941,140.1900024,1973.819946,200.7100067,-1.649993896,-3.790039063,-0.529998779,-26.9901123,-3.949996948,,TRUE,,,
7/26/2019,207.7400055,1245.219971,141.3399963,1943.050049,199.75,0.720001221,109.2800293,1.149993896,-30.76989746,-0.960006714,,FALSE,,,
7/29/2019,209.6799927,1241.839966,141.0299988,1912.449951,195.9400024,1.939987183,-3.380004883,-0.309997559,-30.60009766,-3.809997559,,FALSE,,,
7/30/2019,208.7799988,1228,140.3500061,1898.530029,197.0399933,-0.899993896,-13.83996582,-0.679992676,-13.91992188,1.099990845,,FALSE,,,
7/31/2019,213.0399933,1218.199951,136.2700043,1866.780029,194.2299957,4.259994507,-9.800048828,-4.080001831,-31.75,-2.809997559,,FALSE,,,
8/1/2019,208.4299927,1211.780029,138.0599976,1855.319946,192.7299957,-4.61000061,-6.419921875,1.789993286,-11.46008301,-1.5,,FALSE,,,
8/2/2019,204.0200043,1196.319946,136.8999939,1823.23999,189.0200043,-4.409988403,-15.46008301,-1.160003662,-32.07995605,-3.709991455,,TRUE,,,
8/5/2019,193.3399963,1154.75,132.2100067,1765.130005,181.7299957,-10.68000793,-41.56994629,-4.689987183,-58.10998535,-7.290008545,,TRUE,,,
8/6/2019,197,1171.079956,134.6900024,1787.829956,184.5099945,3.660003662,16.32995605,2.479995728,22.69995117,2.779998779,,TRUE,,,
8/7/2019,199.0399933,1175.910034,135.2799988,1793.400024,185.1499939,2.039993286,4.830078125,0.589996338,5.570068359,0.63999939,,TRUE,,,
8/8/2019,203.4299927,1206.189941,138.8899994,1832.890015,190.1600037,4.38999939,30.27990723,3.61000061,39.48999023,5.010009766,,TRUE,,,
8/9/2019,200.9900055,1188.900024,137.7100067,1807.579956,187.8500061,-2.439987183,-17.28991699,-1.179992676,-25.31005859,-2.309997559,,TRUE,,,
8/12/2019,200.4799957,1174.5,135.7899933,1784.920044,185.3699951,-0.510009766,-14.40002441,-1.920013428,-22.65991211,-2.480010986,,TRUE,,,
8/13/2019,208.9700012,1196.72998,138.6000061,1824.339966,188.4499969,8.490005493,22.22998047,2.810012817,39.41992188,3.080001831,,TRUE,,,
8/14/2019,202.75,1164.25,133.9799957,1762.959961,179.7100067,-6.220001221,-32.47998047,-4.620010376,-61.38000488,-8.739990234,,TRUE,,,
8/15/2019,201.7400055,1169.319946,133.6799927,1776.119995,182.5899963,-1.009994507,5.069946289,-0.300003052,13.16003418,2.879989624,,FALSE,,,
8/16/2019,206.5,1179.209961,136.1300049,1792.569946,183.6999969,4.759994507,9.890014648,2.450012207,16.44995117,1.11000061,,TRUE,,,
8/19/2019,210.3500061,1200.439941,138.4100037,1816.119995,186.1699982,3.850006104,21.22998047,2.279998779,23.55004883,2.470001221,,TRUE,,,
8/20/2019,210.3600006,1183.530029,137.2599945,1801.380005,183.8099976,0.009994507,-16.90991211,-1.150009155,-14.73999023,-2.36000061,,FALSE,,,
8/21/2019,212.6399994,1191.579956,138.7899933,1823.540039,183.5500031,2.279998779,8.049926758,1.529998779,22.16003418,-0.259994507,,FALSE,,,
8/22/2019,212.4600067,1191.52002,137.7799988,1804.660034,182.0399933,-0.179992676,-0.059936523,-1.009994507,-18.88000488,-1.510009766,,TRUE,,,
8/23/2019,202.6399994,1153.579956,133.3899994,1749.619995,177.75,-9.820007324,-37.94006348,-4.38999939,-55.04003906,-4.289993286,,TRUE,,,
8/26/2019,206.4900055,1171.180054,135.4499969,1768.869995,180.3600006,3.850006104,17.60009766,2.059997559,19.25,2.61000061,,TRUE,,,
8/27/2019,204.1600037,1170.819946,135.7400055,1761.829956,181.3000031,-2.330001831,-0.360107422,0.290008545,-7.040039063,0.940002441,,FALSE,,,
8/28/2019,205.5299988,1173.75,135.5599976,1764.25,181.7599945,1.369995117,2.930053711,-0.180007935,2.420043945,0.459991455,,FALSE,,,
8/29/2019,209.0099945,1194.23999,138.1199951,1786.400024,185.5700073,3.479995728,20.48999023,2.559997559,22.15002441,3.810012817,,TRUE,,,
8/30/2019,208.7400055,1190.530029,137.8600006,1776.290039,185.6699982,-0.269989014,-3.709960938,-0.259994507,-10.10998535,0.099990845,,FALSE,,,
9/3/2019,205.6999969,1169.550049,136.0399933,1789.839966,182.3899994,-3.040008545,-20.97998047,-1.820007324,13.54992676,-3.279998779,,FALSE,,,
9/4/2019,209.1900024,1182.27002,137.6300049,1800.619995,187.1399994,3.490005493,12.7199707,1.590011597,10.7800293,4.75,,TRUE,,,
9/5/2019,213.2799988,1212.189941,140.0500031,1840.719971,190.8999939,4.089996338,29.91992188,2.419998169,40.09997559,3.759994507,,TRUE,,,
9/6/2019,213.2599945,1206.319946,139.1000061,1833.51001,187.4900055,-0.020004272,-5.869995117,-0.949996948,-7.209960938,-3.409988403,,TRUE,,,
9/9/2019,214.1699982,1205.27002,137.5200043,1831.349976,188.7599945,0.910003662,-1.049926758,-1.580001831,-2.16003418,1.269989014,,FALSE,,,
9/10/2019,216.6999969,1205.699951,136.0800018,1820.550049,186.1699982,2.529998779,0.429931641,-1.440002441,-10.79992676,-2.589996338,,FALSE,,,
9/11/2019,223.5899963,1220,136.1199951,1822.98999,188.4900055,6.88999939,14.30004883,0.039993286,2.439941406,2.320007324,,TRUE,,,
9/12/2019,223.0899963,1234.969971,137.5200043,1843.550049,187.4700012,-0.5,14.9699707,1.400009155,20.56005859,-1.020004272,,FALSE,,,
9/13/2019,218.75,1240.030029,137.3200073,1839.339966,187.1900024,-4.339996338,5.060058594,-0.199996948,-4.210083008,-0.279998779,,FALSE,,,
9/16/2019,219.8999939,1231.630005,136.3300018,1807.839966,186.2200012,1.149993896,-8.400024414,-0.990005493,-31.5,-0.970001221,,FALSE,,,
9/17/2019,220.6999969,1229.880005,137.3899994,1822.550049,188.0800018,0.800003052,-1.75,1.059997559,14.71008301,1.86000061,,FALSE,,,
9/18/2019,222.7700043,1232.650024,138.5200043,1817.459961,188.1399994,2.070007324,2.770019531,1.130004883,-5.090087891,0.059997559,,FALSE,,,
9/19/2019,220.9600067,1238.75,141.0700073,1821.5,190.1399994,-1.809997559,6.099975586,2.550003052,4.040039063,2,,FALSE,,,
9/20/2019,217.7299957,1229.839966,139.4400024,1794.160034,189.9299927,-3.230010986,-8.91003418,-1.630004883,-27.33996582,-0.210006714,,TRUE,,,
9/23/2019,218.7200012,1234.689941,139.1399994,1785.300049,186.8200073,0.990005493,4.849975586,-0.300003052,-8.859985352,-3.109985352,,FALSE,,,
9/24/2019,217.6799927,1218.329956,137.3800049,1741.609985,181.2799988,-1.040008545,-16.35998535,-1.759994507,-43.69006348,-5.540008545,,TRUE,,,
9/25/2019,221.0299988,1245.939941,139.3600006,1768.329956,182.8000031,3.350006104,27.60998535,1.979995728,26.7199707,1.520004272,,TRUE,,,
9/26/2019,219.8899994,1242.290039,139.5399933,1739.839966,180.1100006,-1.13999939,-3.649902344,0.179992676,-28.48999023,-2.690002441,,FALSE,,,
9/27/2019,218.8200073,1225.949951,137.7299957,1725.449951,177.1000061,-1.069992065,-16.34008789,-1.809997559,-14.39001465,-3.009994507,,TRUE,,,
9/30/2019,223.9700012,1221.140015,139.0299988,1735.910034,178.0800018,5.149993896,-4.809936523,1.300003052,10.46008301,0.979995728,,FALSE,,,
10/1/2019,224.5899963,1206,137.0700073,1735.650024,175.8099976,0.619995117,-15.14001465,-1.959991455,-0.260009766,-2.270004272,,FALSE,,,
10/2/2019,218.9600067,1177.920044,134.6499939,1713.22998,174.6000061,-5.629989624,-28.07995605,-2.420013428,-22.42004395,-1.209991455,,TRUE,,,
10/3/2019,220.8200073,1189.430054,136.2799988,1724.420044,179.3800049,1.86000061,11.51000977,1.630004883,11.19006348,4.779998779,,TRUE,,,
10/4/2019,227.0099945,1210.959961,138.1199951,1739.650024,180.4499969,6.189987183,21.52990723,1.839996338,15.22998047,1.069992065,,TRUE,,,
10/7/2019,227.0599976,1208.25,137.1199951,1732.660034,179.6799927,0.050003052,-2.709960938,-1,-6.989990234,-0.770004272,,FALSE,,,
10/8/2019,224.3999939,1190.130005,135.6699982,1705.51001,177.75,-2.660003662,-18.11999512,-1.449996948,-27.15002441,-1.929992676,,TRUE,,,
10/9/2019,227.0299988,1202.400024,138.2400055,1721.98999,179.8500061,2.630004883,12.27001953,2.570007324,16.47998047,2.100006104,,TRUE,,,
10/10/2019,230.0899963,1209.469971,139.1000061,1720.26001,180.0299988,3.059997559,7.069946289,0.86000061,-1.729980469,0.179992676,,FALSE,,,
10/11/2019,236.2100067,1215.709961,139.6799927,1731.920044,184.1900024,6.120010376,6.239990234,0.579986572,11.66003418,4.160003662,,TRUE,,,
10/14/2019,235.8699951,1217.77002,139.5500031,1736.430054,183.2799988,-0.340011597,2.060058594,-0.129989624,4.510009766,-0.910003662,,FALSE,,,
10/15/2019,235.3200073,1242.23999,141.5700073,1767.380005,188.8899994,-0.549987793,24.4699707,2.020004272,30.94995117,5.61000061,,FALSE,,,
10/16/2019,234.3699951,1243,140.4100037,1777.430054,189.5500031,-0.950012207,0.760009766,-1.160003662,10.05004883,0.660003662,,FALSE,,,
10/17/2019,235.2799988,1252.800049,139.6900024,1787.47998,190.3899994,0.910003662,9.800048828,-0.720001221,10.04992676,0.839996338,,FALSE,,,
10/18/2019,236.4100037,1244.410034,137.4100037,1757.51001,185.8500061,1.130004883,-8.390014648,-2.279998779,-29.9699707,-4.539993286,,FALSE,,,
10/21/2019,240.5099945,1244.280029,138.4299927,1785.660034,189.7599945,4.099990845,-0.130004883,1.019989014,28.15002441,3.909988403,,FALSE,,,
